"","Year","CA","OR","WA","ASHOP","FOREIGN","POP","TRI","AFSC","NWFSC.SLOPE","NWFSC.COMBO","OTHER.RESEARCH"
"1",1892,0,0.051730615,0,0,0,0,0,0,0,0,0
"2",1893,0,0.051730615,0,0,0,0,0,0,0,0,0
"3",1894,0,0.051730615,0,0,0,0,0,0,0,0,0
"4",1895,0,0.013301946,0,0,0,0,0,0,0,0,0
"5",1896,0,0.003202595,0,0,0,0,0,0,0,0,0
"6",1897,0,0.003263732,0,0,0,0,0,0,0,0,0
"7",1898,0,0.001847698,0,0,0,0,0,0,0,0,0
"8",1899,0,0.003124784,0,0,0,0,0,0,0,0,0
"9",1900,0,0.00440187,0,0,0,0,0,0,0,0,0
"10",1901,0,0.005679573,0,0,0,0,0,0,0,0,0
"11",1902,0,0.006956659,0,0,0,0,0,0,0,0,0
"12",1903,0,0.008233744,0,0,0,0,0,0,0,0,0
"13",1904,0,0.00951083,0,0,0,0,0,0,0,0,0
"14",1905,0,0.010788533,0,0,0,0,0,0,0,0,0
"15",1906,0,0.012065619,0,0,0,0,0,0,0,0,0
"16",1907,0,0.013342704,0,0,0,0,0,0,0,0,0
"17",1908,0,0.014620408,0.06,0,0,0,0,0,0,0,0
"18",1909,0,0.015897493,0.057142857,0,0,0,0,0,0,0,0
"19",1910,0,0.017174579,0.054285714,0,0,0,0,0,0,0,0
"20",1911,0,0.018451665,0.051428571,0,0,0,0,0,0,0,0
"21",1912,0,0.019729368,0.048571429,0,0,0,0,0,0,0,0
"22",1913,0,0.021006454,0.045714286,0,0,0,0,0,0,0,0
"23",1914,0,0.022283539,0.042857143,0,0,0,0,0,0,0,0
"24",1915,0,0.023560625,0.04,0,0,0,0,0,0,0,0
"25",1916,0.043544868,0.024838328,0.396666667,0,0,0,0,0,0,0,0
"26",1917,0.070306818,0.026115414,0.753333333,0,0,0,0,0,0,0,0
"27",1918,0.063956525,0.027392499,1.11,0,0,0,0,0,0,0,0
"28",1919,0.038555352,0.028670203,0.38,0,0,0,0,0,0,0,0
"29",1920,0.041730498,0.029947288,0.3,0,0,0,0,0,0,0,0
"30",1921,0.03628739,0.031224374,0.28,0,0,0,0,0,0,0,0
"31",1922,0.035833798,0.03250146,0.14,0,0,0,0,0,0,0,0
"32",1923,0.048080792,0.033779163,0.19,0,0,0,0,0,0,0,0
"33",1924,0.064410117,0.035056248,0.46,0,0,0,0,0,0,0,0
"34",1925,0.07076041,0.036333334,0.6,0,0,0,0,0,0,0,0
"35",1926,0.087543328,0.037611037,1,0,0,0,0,0,0,0,0
"36",1927,0.07257478,0.039001134,1.35,0,0,0,0,0,0,0,0
"37",1928,0.062142155,0.06508567,1.18,0,0,0,0,0,0,0,0
"38",1929,0.265351539,0.102982631,0.69,0,0,0,0,0,0,0,0
"39",1930,0.180076173,0.086368167,0.86,0,0,0,0,0,0,0,0
"40",1931,0.439984603,0.070489818,0.43,0,0,0,0,0,0,0,0
"41",1932,0.298917375,0.105637795,0.37,0,0,0,0,0,0,0,0
"42",1933,0.573794354,0.086784137,0.51,0,0,0,0,0,0,0,0
"43",1934,0.379203225,0.045929364,2.32,0,0,0,0,0,0,0,0
"44",1935,0.371492155,0.080171922,7.71,0,0,0,0,0,0,0,0
"45",1936,0.186880058,0.231170184,1.61,0,0,0,0,0,0,0,0
"46",1937,0.45268519,0.36499785,2,0,0,0,0,0,0,0,0
"47",1938,0.598288342,0.083275495,5.07,0,0,0,0,0,0,0,0
"48",1939,0.945286508,0.417856747,8.7,0,0,0,0,0,0,0,0
"49",1940,0.852753664,9.108764805,12.21,0,0,0,0,0,0,0,0
"50",1941,1.313603517,14.03489122,13.64,0,0,0,0,0,0,0,0
"51",1942,0.448602858,26.61338014,18.62,0,0,0,0,0,0,0,0
"52",1943,0.98384186,94.31751265,453.65,0,0,0,0,0,0,0,0
"53",1944,2.795489804,164.4541866,739.29,0,0,0,0,0,0,0,0
"54",1945,6.716342289,247.1251623,1887.12,0,0,0,0,0,0,0,0
"55",1946,7.310094707,193.1686118,845.86,0,0,0,0,0,0,0,0
"56",1947,2.552817884,167.1981896,385.3,0,0,0,0,0,0,0,0
"57",1948,4.171145986,177.7951477,491.12,0,0,0,0,0,0,0,0
"58",1949,2.179094507,472.9056159,409.49,0,0,0,0,0,0,0,0
"59",1950,1.512117419,690.1047941,675.66,0,0,0,0,0,0,0,0
"60",1951,4.300723815,840.1373151,735.11,0,0,0,0,0,0,0,0
"61",1952,3.098714321,2030.493805,305.63,0,0,0,0,0,0,0,0
"62",1953,146.40915373,1223.541447,361.57,0,0,0,0,0,0,0,0
"63",1954,123.571069593,1837.497652,538.76,0,0,0,0,0,0,0,0
"64",1955,50.618045871,1346.391608,555.62,0,0,0,0,0,0,0,0
"65",1956,4.113274095,2563.847988,548.22,0,0,0,0,0,0,0,0
"66",1957,1.664647053,2128.082401,538.52,0,0,0,0,0,0,0,0
"67",1958,3.086478393,1564.925683,530.41,0,0,0,0,0,0,0,0
"68",1959,1.617475789,892.614645,337.02,0,0,0,0,0,0,0,0
"69",1960,20.92377688,1358.7621,928.13,0,0,0,0,0,0,0,0
"70",1961,1.170389663,2061.861162,1179.81,0,0,0,0,0,0,0,0
"71",1962,0.606045661,2584.915713,1725.25,0,0,0,0,0,0,0,0
"72",1963,33.091284125,3693.937483,2006.04,0,0,0,0,0,0,0,0
"73",1964,47.101598225,4261.575419,1770.69,0,0,0,0,0,0,0,0
"74",1965,36.256893691,5627.792169,1972.06,0,0,0,0,0,0,0,0
"75",1966,5.348636584,1591.197015,1725.51,0,15561,0,0,0,0,0,0
"76",1967,18.111372012,354.6664826,1861.01,0,12357,0,0,0,0,0,0
"77",1968,22.340037247,466.3509528,2501.23,0,6639,0,0,0,0,0,0
"78",1969,8.360614647,422.2972459,1235.95,0,469,0,0,0,0,0,0
"79",1970,8.721674177,507.3922441,1293.29,0,441,0,0,0,0,0,0
"80",1971,12.18893429,290.4050344,673.63,0,902,0,0,0,0,0,0
"81",1972,11.41102337,105.27418,796.46,0,950,0,0,0,0,0,0
"82",1973,11.93991207,121.1801028,713.15,0,1773,0,0,0,0,0,0
"83",1974,15.6920282,136.6940174,641.84,0,1457,0,0,0,0,0,0
"84",1975,11.3615818,181.3186973,413.91,62.26131,496,0,0,0,0,0,0
"85",1976,17.12129777,663.7264241,521.08,31.92687,239,0,0,0,0,0,0
"86",1977,16.71986852,457.1314809,751.98,3.7785,0,0,11.947395,0,0,0,0
"87",1978,42.54152162,498.6614362,1391.45,15.38787,0,0,0,0,0,0,0
"88",1979,136.682351,735.9180978,581.4,15.0891,0,34.469216,0,0,0,0,0
"89",1980,19.21462658,948.6215943,666.17,47.02305,0,0,4.648142,0,0,0,0
"90",1981,10.8084478363422,929.7453138,390.27,15.381855,0,0,0,0,0,0,0
"91",1982,145.911034836251,583.9657373,273.01,28.31562,0,0,0,0,0,0,0
"92",1983,102.026107729293,1032.671055,437.68,10.921755,0,0,4.374043,0,0,0,0
"93",1984,47.5803054522362,750.4283251,815.71,2.308576,0,0,0,0.856381,0,0,0
"94",1985,70.8875937131452,789.4614172,503.16,11.398034,0,13.598559,0,0,0,0,0
"95",1986,52.8185000453597,676.4907794,588.93,19.801769,0,0,1.40985,0,0,0,0
"96",1987,120.882603011884,549.959629325016,399.37,5.355884,0,0,0,0,0,0,0
"97",1988,75.4481573074481,749.844580775471,509.78,4.537702,0,0,0,0.510517,0,0,0
"98",1989,29.4561086364873,927.824415182137,466.23,4.346288,0,0,4.206027,0,0,0,0
"99",1990,18.2932761045088,567.791480941711,427.21,80.93702316,0,0,0,0.018553,0,0,0
"100",1991,8.42166324956908,853.199273207919,530.08,46.1094531,0,0,0,0,0,0,0
"101",1992,15.2911962714325,623.448427047294,435.22,373.3245951,0,0,3.706897,1.16129,0,0,0
"102",1993,11.0034169010251,797.835447855342,464.68,0.8679335,0,0,0,0.170369,0,0,0
"103",1994,6.66054059693368,626.428667649513,352,83.8149222,0,0,0,0,0,0,0
"104",1995,9.15837730654087,514.957461770486,289.8,46.6124221,0,0,2.814912,0.008154,0,0,0
"105",1996,18.4221973918171,531.090665728138,236.67,6.3025857,0,0,0,1.174775,0,0,0
"106",1997,15.8482629048353,439.085371117949,184.92,6.3653296,0,0,0,0.109962,0,0,0
"107",1998,21.605518289032,436.650209049742,172.36,22.2501271,0,0,3.77268,0,0,0,0
"108",1999,19.7523869182618,326.833988049297,145.79,16.4733638,0,0,0,1.029044,0.358533,0,0
"109",2000,6.78201782636306,95.1311885203257,33.03,10.0876468,0,0,0,0.226734,0.35564,0,0
"110",2001,0.47522453052708,193.372389654246,51.83,21.0024373,0,0,1.71895,0.607262,0.51019,0,0
"111",2002,0.778898031388914,107.049821476195,39.5,3.8505183,0,0,0,0,0.295562,0,0
"112",2003,0.15950353805679,94.5571281184886,30.24,6.27951,0,0,0,0,0,3.55237,0
"113",2004,2.06512306994466,97.6851493214687,22.27,1.0617203,0,0,1.926492,0,0,0.606884,0
"114",2005,0.0970658169282409,51.2114820130137,10.43,1.6966076,0,0,0,0,0,1.25414,0.581
"115",2006,0.23344869817654,52.2279667021863,15.85,3.1363072,0,0,0,0,0,1.2164,0
"116",2007,0.153535698085821,83.6501072409961,45.12,4.0474894,0,0,0,0,0,0.5766,0
"117",2008,0.38874702893949,58.639507546716,16.61,15.9305677,0,0,0,0,0,0.795342,0
"118",2009,0.918081284586773,58.743955294888,33.22,1.5595984,0,0,0,0,0,2.70355,0.0209999999999999
"119",2010,0.141611312709789,57.9983755734555,22.29,16.8732683,0,0,0,0,0,1.61584,0.0620000000000001
"120",2011,0.123996294112311,30.2569877770389,19.66,9.16567509949,0,0,0,0,0,1.188964,0.749
"121",2012,0.175668148416946,30.4074822727796,21.79,4.518390957098,0,0,0,0,0,1.59333,0.0270000000000001
"122",2013,0.0826492787807312,34.8620049008754,14.83,5.407088822588,0,0,0,0,0,1.709208,0
"123",2014,0.180742266170734,33.9134222463168,15.82098535,3.920437307932,0,0,0,0,0,0.56067,0.00599999999999989
"124",2015,0.124206264174907,38.0532211793341,11.41,8.707892695597,0,0,0,0,0,1.50708,0.0800000000000001
"125",2016,0.234756554477003,40.8144010442756,13.12,10.295788577578,0,0,0,0,0,2.97891,0.117
"126",2017,0.0283770298466842,13.0453630590583,0,0,0,0,0,0,0,0,0
